"x1","x2","x3","x4","x5","x6","x7","x8","y"
0.7799,0.5723,0.434,0.2013,0.1069,0.3208,0.0126,0.6289,139.343816101357
0.0818,0.4654,0.6981,0.4969,0.9182,0.761,0.6792,0.2704,19.1007036936427
0.5723,0.1447,0.8553,0.1006,0.0755,0.6855,0.4465,0.1761,58.9306635143268
0.6604,0.9811,0.2327,0.4025,0.7358,0.1447,0.5723,0.7233,107.083089691532
0.0189,0.0692,0.9686,0.1824,0.805,0.2201,0.6918,0.478,17.4465409577371
0.5849,0.3333,0.1635,0.7799,0.1132,0.0252,0.1384,0.4088,125.183286767403
0.0881,0.6415,0.3648,0.2138,0.4088,0.2013,0.4214,0,22.9742716394242
0.5031,0.4969,0.5031,0.1761,0.0063,0.7044,0.0881,0.7925,70.3150107213889
0.2704,0.1195,0.2138,0.2893,0.5094,0.0818,0.1132,0.3019,52.0056431432124
0.7358,0.9182,0.2893,0.9937,0.5723,0.5409,0.4151,0.8994,143.128474597354
0.7233,0.8428,0.761,0.1698,0.3711,0.1258,0.2013,0.1258,113.009276508914
0.1887,0.3774,0.9497,0.4214,0.0252,0.522,0.5157,0.5031,32.093985715994
0.6038,0.7233,0.327,0.2642,0.1447,0.2264,0.3019,0.2579,90.3293312201005
0.6352,0.8113,0.6478,0.2453,0.9119,0.9497,0.0503,0.3962,77.1526224449183
0.7862,0.2138,0.7358,0.8176,0.5597,0.9308,0.9245,0.7862,100.828091584106
0.4591,0.3396,0.239,0.1258,0.4591,0.2767,0.9182,0.0189,47.3997296050684
0.3522,0.5157,0.2264,0.9497,0.0881,0.566,0.8868,0.3648,50.3037175434431
0.5597,0.522,0.3396,0.6038,0.956,0.9371,0.761,0.044,56.5428127368418
0.5786,0.6352,0.6855,0.044,0.6415,0.1132,0.283,0.805,92.9211787970737
0.8994,0.8931,0.3459,0.0189,0.7736,0.1635,0.8616,0.5346,114.470463961803
0.1132,0.4906,0.4025,0.3962,0.5409,0.9686,0.2767,0.9623,24.4685057734913
0.3836,0.9937,0.5723,0.3333,0.2579,0.2893,0.1887,0.3836,62.8287483592239
0.2013,0.7484,0.3836,0.1384,0.8868,0.0189,0.7799,0.2138,31.1218477881899
0.044,0.9497,0.8428,0.2516,0.4717,0.4151,0.7233,0.8616,19.3200670839258
0.3082,0.0755,0.4214,0.0252,0.9434,0.6604,0.3648,0.7044,37.6543197516171
0.7296,0.1258,0.0189,0.3836,0.9497,0.2579,0.5975,0.434,107.068756046071
0.8302,0.1572,0.6164,0.2201,0.5283,0.7421,0.8931,0.717,88.4601365864962
0.1761,0.434,0.1824,0,0.6667,0.2956,0.4088,0.239,28.0585093674076
0.8239,0.0818,0.3208,0.7044,0.0629,0.1321,0.0692,0.8491,196.939091351371
0.2516,0.4528,0.4528,0.239,0.7296,0.5346,0.1635,0.0314,36.8930228431306
0.3145,0.2579,0.5094,0.6352,0.3208,0.1509,0.6855,0.0063,47.4563060643362
0.1069,0.1132,0.5849,0.0755,0.7862,0.5535,0.6352,0.0818,18.2789677832009
0.1447,0.3585,0.8679,0.3145,0.3648,0.9874,0.0252,0.7107,27.4055318294412
0.6792,0.5031,0.7233,0.0818,0.4969,0.3774,0.8176,0.6478,78.9049405561292
0.7987,0.4151,0.2642,0.2579,0.8113,0.8176,0.9937,0.1824,71.8026899874448
0.522,0.3145,0.9182,0.956,0.3962,0.2453,0.6604,0.8239,95.8149291775344
0.4277,0.5094,0,0.3019,0.2264,0.1887,0.522,0.1509,58.8906779899754
0.3019,0.4717,0.3145,0.9371,0.6289,0.0314,0.6164,0.1321,55.6014172356797
0.9057,0.0503,0.6918,0.327,0.1698,0.8302,0.6101,0.0252,95.7683892521612
0.6289,0,0.1006,0.7484,0.5849,0.1761,0.6667,0.2013,98.6930218312024
0.3585,0.8994,0.0629,0.1509,0.9748,0.0566,0.3082,0.7358,61.6578130813734
0.7673,0.8616,0.9434,0.5786,0.8805,0.4214,0.2893,0.0126,119.27306996497
0.6101,0.3899,0.7673,0.9811,0.434,0.7233,0.8491,0.9811,92.8730430011002
0.4906,0.9686,0.7799,0.8113,0.9371,0.4969,0.2579,0.1698,81.3407905834707
0.0063,0.2327,0.0755,0.3459,0.4277,0.5597,0.4717,0.6792,17.4180944978005
0.1321,0.9748,0.9811,0.7421,0.2013,0.3522,0.3459,0.283,33.608916969582
0.195,1,0.6667,0.5975,0.7107,0.6981,0.9623,0.6541,28.6335973600283
0.8742,0.195,0.2013,0.566,0.0314,0.195,0.1761,0.956,191.528051416904
0.7107,0.5597,0.8742,0.4277,0.195,0.7358,0.2453,0.327,96.9545674040615
0.0692,0.7987,0.2201,0.7736,0.2516,0.8742,0.3774,0.7987,24.5954643788911
0.1698,0.0126,0.3585,0.9057,0.5157,0.8679,0.5472,0.3899,31.1113780260162
0.9371,0.8742,0.5597,0.9623,0.2956,0.6792,0.5786,0.2642,150.080400139452
0.2579,0.0314,0.7862,0.5912,0.1195,0.7673,0.8113,0.8113,35.7385048259572
0.761,0.0063,0.5472,0.2767,0.2075,0.5031,0.8428,0.7673,94.5426044393944
0,0.6855,0.3019,0.0629,0.3396,0.4906,0.956,0.4025,12.141825373732
0.7044,0.2516,0.2075,0.0503,0.8428,0.5975,0.0314,0.1572,91.022693381607
0.3208,0.805,0.9057,0.5346,0.4843,0.5472,0.2327,0.2327,50.4078445586416
0.0755,0.2201,0.478,0.9874,0.1509,0.3648,0.2264,0.4214,32.7241456424564
0.478,0.4214,0.4277,0.5849,0.6038,0.0629,0.7107,0.3711,74.1440717645296
0.4403,0.6792,0.8176,0.9748,0.7233,0.3082,0.0629,0.2075,91.2605982885425
0.5157,0.4403,0.0818,0.434,0.2453,0.1006,0.8805,0.0943,66.3680356774836
0.7925,0.3522,0.4906,0.6792,0.9245,0.6101,0.4277,0.3459,121.368166089106
0.5975,0.239,0.9371,0.4591,0.5031,0.3145,0.6226,0.9057,93.1644458366011
0.8805,0.4591,0.9748,0.3711,0.1258,0.4465,0.434,0.7421,139.741413124484
0.7736,0.7547,0.0503,0.0063,0.4654,0.7107,0.6478,0.3774,74.7986461807587
0.4214,0.956,0.3333,0.5283,0.6604,0.7296,0,0.4403,68.1186083833811
0.2893,0.3208,0.3774,0.3396,0.7925,0.7484,0.0755,0.9245,48.0213672481989
0.2327,0.8553,0.7107,0.3082,0.761,0.6352,0.7484,0.4151,29.5067831091246
0.805,0.044,0.5283,0.0943,0.5975,0.0063,0.239,0.5094,139.62380183315
0.6164,0.5535,0.195,0.3208,0.9811,0.3585,0.9686,0.8302,78.1188545249975
0.8868,0.1006,0.2453,0.8994,0.6792,0.7736,0.2516,0.6352,162.927158978932
0.5094,0.7925,0.0126,0.6918,0.7987,0.4088,0.1572,0.6981,97.147640142544
0.8113,0.9308,0.1887,0.6164,0.3899,0.6415,0.5346,0.5786,120.243105636704
0.3711,0.0252,0.1698,0.4528,0.7799,0.9245,0.4528,0.6415,45.4792736647679
0.566,0.9874,0.4717,0.4906,0.5346,0.5723,0.0566,0.5472,95.2602246659164
0.4088,0.0377,0.4403,0.7862,0.478,0.6289,0.9748,0.1195,48.5325891456032
0.3774,0.3962,0.8868,0.8679,0.9057,0.1698,0.9497,0.7736,63.0143912574953
0.8428,0.8491,0.3711,0.5031,0.1887,0.478,0.478,0.8176,137.488507070468
0.3459,0.3082,0.8239,0.6667,0.566,0.1069,0.5849,0.6226,62.0020667073374
0.5912,0.2013,0.0063,0.9434,0.7484,0.4843,0.3711,0.6164,108.326908429345
0.8616,0.566,0.6604,0.7358,0.4465,0.0503,0.566,0.0629,149.415865754212
0.8176,0.5975,0.1132,0.8616,0.7547,0.9748,0.1824,0.2516,127.236164007731
0.4528,0.0943,0.6415,0.8553,0.1384,0.5912,0.7296,0.9182,70.8365387119251
0.1635,0.8176,0.1069,0.1887,0.1635,0.6541,0.9119,0.9434,23.603778479925
0.8679,0.9623,0.8931,0.0566,0.2767,0.8491,0.7673,0.6855,83.0220300267566
0.7547,0.7044,0.8994,0.7925,0.7673,0.0755,0.5283,0.9748,156.23114289908
0.6981,0.7862,0.3962,0.4717,0.1321,0.0881,0.9434,0.4654,99.1205871680591
0.1195,0.5849,0.0314,0.5723,0.3019,0.6164,0.8553,0.1887,21.9990743646127
0.9811,0.2264,0.283,0.7547,0.8742,0.717,0.5031,0.1006,144.716504683197
0.1006,0.8805,0.1447,0.805,0.6164,0.2516,0.0818,0.673,39.1519432877936
0.9434,0.1384,0.717,0.4465,0.4025,0.0126,0.3333,0.3585,180.357701102918
0.6541,0.3648,0.3082,0.1572,0.2327,0.7862,0.717,0.5597,64.8725228042224
0.6415,0.6164,0.8491,0.522,0.8176,0.0377,0.8994,0.5912,97.3447366214668
0.9937,0.4843,0.0566,0.8868,0.3774,0.5094,0.7736,0.4591,162.494178206275
0.9686,0.4025,0.5409,0.5472,0.522,0.239,0.3836,0.0566,163.90795191765
0.4843,0.6101,0.5912,1,0.3522,0.9057,0.5094,0.7484,74.5561794512754
0.4654,0.2704,0.9874,0.4843,1,0.8239,0.2075,0.6604,66.4272462328602
0.9748,0.6981,0.0252,0.1195,0.1006,0.8616,0.2642,0.8868,125.454887809048
0.6478,0.478,0.6038,0.673,0.1824,0.2642,1,0.8805,97.6659962432892
1,0.1824,0.3899,0.2956,0.6478,0.4277,0.6541,0.5723,143.463559976105
0.2642,0.7673,0.673,0.7987,0.3585,0.327,0.4403,0.522,50.9866214894694
0.8491,0.6478,0.7925,0.3522,0.8931,0.673,0.1447,0.4717,129.172130284345
0.6855,0.1069,0.4591,0.6226,0.2642,1,0.4906,0.2264,79.6059701313839
0.4025,0.8302,0.5157,0.9308,0.8239,0.9937,0.327,0.8742,64.9848506297411
0.1572,0.2767,0.6541,0.1069,0.2704,0.4591,0.1321,0.1132,28.3614539824144
