"","RMSE","MaxE","iterations","size","train_set"
"1",0.00200799049097654,0.00696241991277933,"5","140","1"
"2",0.00197145717342813,0.00667415442524489,"10","140","1"
"3",0.00201038692783183,0.0067351246884174,"15","140","1"
"4",0.00202710982569678,0.0066015742827328,"20","140","1"
"5",0.00201680852098524,0.00713510180580749,"5","145","1"
"6",0.00198998661037324,0.00649138450257085,"10","145","1"
"7",0.00201810083982798,0.00646045475084393,"15","145","1"
"8",0.00203196912131567,0.00637836095258945,"20","145","1"
"9",0.0019281268711712,0.00572929917614094,"5","150","1"
"10",0.00197684292380555,0.00589839976734008,"10","150","1"
"11",0.00199672531240066,0.00603110671566559,"15","150","1"
"12",0.00199278938339343,0.00599283164075867,"20","150","1"
"13",0.00196846055559414,0.00561178290883321,"5","153","1"
"14",0.00197465605548548,0.0056210355100963,"10","153","1"
"15",0.00196579311434974,0.00569683472496163,"15","153","1"
"16",0.00195096699069844,0.00568335131528149,"20","153","1"
"17",0.00186674148701089,0.00531298819797009,"5","156","1"
"18",0.00187524501572418,0.00533814247197098,"10","156","1"
"19",0.00186548522099483,0.00530331567583346,"15","156","1"
"20",0.00186835842901259,0.00536203560881117,"20","156","1"
"21",0.00187059672755382,0.00534867410378418,"5","157","1"
"22",0.00188149697685394,0.00536529935568701,"10","157","1"
"23",0.001871456680386,0.00532468602857949,"15","157","1"
"24",0.00186535129400429,0.00534382160196112,"20","157","1"
"25",0.00183711910476153,0.00513104878749023,"5","159","1"
"26",0.0018506845156565,0.00524722231077477,"10","159","1"
"27",0.00185225013617273,0.0052343707460089,"15","159","1"
"28",0.00185080540657479,0.00526306850411854,"20","159","1"
"29",0.00205598388743603,0.00618664252826585,"5","140","2"
"30",0.00190066353507991,0.00549803561979125,"10","140","2"
"31",0.00186254828073509,0.00518700185627639,"15","140","2"
"32",0.00184057869756943,0.00492032698127883,"20","140","2"
"33",0.00200573569341873,0.00636783954360161,"5","145","2"
"34",0.00187203955675891,0.00565302370120235,"10","145","2"
"35",0.00186322525003482,0.00528680253774461,"15","145","2"
"36",0.00184255312064093,0.00518770689880918,"20","145","2"
"37",0.00193048640306843,0.00601431844635103,"5","150","2"
"38",0.0019168534797557,0.00592330506966014,"10","150","2"
"39",0.0019089076231382,0.00583385641279096,"15","150","2"
"40",0.00188802095073844,0.00557538789989585,"20","150","2"
"41",0.00196818359290518,0.00616133380389872,"5","153","2"
"42",0.00192968029994007,0.00599183708437529,"10","153","2"
"43",0.00190618876249347,0.00583300918649633,"15","153","2"
"44",0.00190524095576485,0.00598503057550794,"20","153","2"
"45",0.00193812129027067,0.00595167003163034,"5","156","2"
"46",0.00190824931990652,0.00586081693746336,"10","156","2"
"47",0.00188226755100303,0.00586077237438975,"15","156","2"
"48",0.0018949171074183,0.00599303329674513,"20","156","2"
"49",0.0019628093882187,0.0062162803832675,"5","157","2"
"50",0.00193354667213487,0.00613669548640824,"10","157","2"
"51",0.00189812688731558,0.00601045425659732,"15","157","2"
"52",0.0019074814329599,0.00608326179144171,"20","157","2"
"53",0.001945413477539,0.00630360729032269,"5","159","2"
"54",0.00191624548804524,0.00618647379946038,"10","159","2"
"55",0.00192274333430199,0.00614669407857974,"15","159","2"
"56",0.00192564702334689,0.0061485354063218,"20","159","2"
"57",0.00173232546786318,0.00462596927342983,"5","140","3"
"58",0.00176097739864801,0.00522983380259744,"10","140","3"
"59",0.00176171732725883,0.00521318517121988,"15","140","3"
"60",0.00170393631349593,0.00513738963203923,"20","140","3"
"61",0.00168001969365963,0.00497426979034252,"5","145","3"
"62",0.00173020332069851,0.00518165699487217,"10","145","3"
"63",0.00175909940452275,0.00526570165344044,"15","145","3"
"64",0.0017413863707369,0.00525968670157219,"20","145","3"
"65",0.00166812037770336,0.00406764656021376,"5","150","3"
"66",0.0017022836935345,0.00472607644367573,"10","150","3"
"67",0.00170927546449606,0.00482379173213218,"15","150","3"
"68",0.00167370360663066,0.00469217252638597,"20","150","3"
"69",0.00157867773657544,0.00408601724543464,"5","153","3"
"70",0.00160294541680388,0.00439560223840993,"10","153","3"
"71",0.0016235923988498,0.00458406564795914,"15","153","3"
"72",0.00160845010831102,0.00450120979467564,"20","153","3"
"73",0.00154245802618048,0.00422642330455428,"5","156","3"
"74",0.00155794827483288,0.00429179019517798,"10","156","3"
"75",0.00157598617450976,0.00441802971975548,"15","156","3"
"76",0.00157375495001766,0.0043549638784262,"20","156","3"
"77",0.00151030614551321,0.00401642315575715,"5","157","3"
"78",0.00154225959778993,0.00420701081080691,"10","157","3"
"79",0.00156129128110159,0.00432540157036076,"15","157","3"
"80",0.00156481399147029,0.00427397816989037,"20","157","3"
"81",0.00159604808175411,0.00446369106188142,"5","159","3"
"82",0.00161358854645704,0.00462507000687433,"10","159","3"
"83",0.00159855308531354,0.00451638575899409,"15","159","3"
"84",0.00159387946747333,0.00445562544892822,"20","159","3"
"85",0.00173788250045289,0.00624662309284337,"5","140","4"
"86",0.00169037291445788,0.00603545573319125,"10","140","4"
"87",0.00173041143069096,0.00616942809034624,"15","140","4"
"88",0.00167805106438215,0.00592215240118371,"20","140","4"
"89",0.00171514979255212,0.00593238158107815,"5","145","4"
"90",0.00169200196602408,0.00605368067098007,"10","145","4"
"91",0.00169552328136638,0.00602764107522514,"15","145","4"
"92",0.00165815228965227,0.00577970951020401,"20","145","4"
"93",0.00169749348638585,0.00562133638983642,"5","150","4"
"94",0.00167912571174864,0.00574904727250293,"10","150","4"
"95",0.00165009538948298,0.0055767440724379,"15","150","4"
"96",0.00165295525551473,0.00553516945780901,"20","150","4"
"97",0.00171237894205292,0.00554083079152272,"5","153","4"
"98",0.00168516973680929,0.00573961891288934,"10","153","4"
"99",0.00168042101238343,0.00553129350073244,"15","153","4"
"100",0.00168666412248918,0.00545951226514789,"20","153","4"
"101",0.0017487832883623,0.00554029454604435,"5","156","4"
"102",0.00173610580248371,0.0056401346026087,"10","156","4"
"103",0.00172705265153232,0.00555453937949864,"15","156","4"
"104",0.00171439520292376,0.00548466810404609,"20","156","4"
"105",0.0017291802207098,0.00542945742050713,"5","157","4"
"106",0.00170779670432635,0.00553995451371076,"10","157","4"
"107",0.0016997155148811,0.00550473511248545,"15","157","4"
"108",0.00169933766036521,0.00546286690151363,"20","157","4"
"109",0.00180738721235342,0.00542427224833585,"5","159","4"
"110",0.00178175707388414,0.00544757758184451,"10","159","4"
"111",0.0017602491689765,0.00545194155792514,"15","159","4"
