"","RMSE","MaxE","iterations","size","train_set"
"1",0.0455272096307774,0.150439251639504,"5","68","1"
"2",0.047389073063497,0.16781840550487,"10","68","1"
"3",0.0480018969028734,0.171447961568843,"15","68","1"
"4",0.0486119675333398,0.173204283991872,"20","68","1"
"5",0.0487702895393347,0.172871757049956,"25","68","1"
"6",0.0449006836531401,0.154187256966563,"5","69","1"
"7",0.0469114099234148,0.166740581504251,"10","69","1"
"8",0.0475398372968227,0.169108218511665,"15","69","1"
"9",0.0483856060115731,0.172905746683732,"20","69","1"
"10",0.0487174413942473,0.173328015250399,"25","69","1"
"11",0.0443942304209309,0.148575164528198,"5","70","1"
"12",0.0467305594427373,0.164512422829961,"10","70","1"
"13",0.0473936230991056,0.168495480829322,"15","70","1"
"14",0.0481746436846987,0.174990889807697,"20","70","1"
"15",0.048507113913487,0.175123843141538,"25","70","1"
"16",0.0434008008300769,0.144097142908748,"5","71","1"
"17",0.0460935070123794,0.161054100262913,"10","71","1"
"18",0.0470665554408615,0.167457422038651,"15","71","1"
"19",0.0477396922413198,0.17572533786525,"20","71","1"
"20",0.0481585545514724,0.180410813176256,"25","71","1"
"21",0.0432228259757676,0.143597232998108,"5","72","1"
"22",0.045867328773822,0.162050282618355,"10","72","1"
"23",0.0466214941777029,0.169772831358825,"15","72","1"
"24",0.0471297988705669,0.179334744228302,"20","72","1"
"25",0.0476532161631181,0.184107865866633,"25","72","1"
"26",0.0433459935357984,0.148133076324414,"5","73","1"
"27",0.0451930327054896,0.15848617265234,"10","73","1"
"28",0.0460918933592717,0.168314135495039,"15","73","1"
"29",0.0467791643418073,0.176610353866661,"20","73","1"
"30",0.0471128958263241,0.182584156171882,"25","73","1"
"31",0.0439058667474514,0.15042509682745,"5","74","1"
"32",0.0450918188735141,0.157190590328612,"10","74","1"
"33",0.0456818883313365,0.168764479120469,"15","74","1"
"34",0.0466989484501119,0.177169401123135,"20","74","1"
"35",0.0472601266258182,0.1833130145541,"25","74","1"
"36",0.0471470954666343,0.177179668289485,"5","75","1"
"37",0.0473883643505706,0.174724083088618,"10","75","1"
"38",0.0479230883679712,0.17965857836687,"15","75","1"
"39",0.0482915725705064,0.186462306598859,"20","75","1"
"40",0.0485064382733799,0.191009489918898,"25","75","1"
"41",0.0471108027653611,0.183594867255973,"5","76","1"
"42",0.0474298699272233,0.180025526752861,"10","76","1"
"43",0.0471783736750222,0.186498640629257,"15","76","1"
"44",0.0477473363733104,0.191014414437078,"20","76","1"
"45",0.0479031080751798,0.19464522870916,"25","76","1"
"46",0.04590496711845,0.186748623913838,"5","77","1"
"47",0.0471474024026903,0.1843416646577,"10","77","1"
"48",0.0471783726002136,0.190909736305437,"15","77","1"
"49",0.0475105652168656,0.195332646303841,"20","77","1"
"50",0.0475992265509195,0.198544463444731,"25","77","1"
"51",0.0459595234298129,0.189849808659997,"5","78","1"
"52",0.0469869564008013,0.184095854583243,"10","78","1"
"53",0.0468300021429594,0.192372064044851,"15","78","1"
"54",0.0468846093876966,0.196358418731096,"20","78","1"
"55",0.0472058928954084,0.199804756971487,"25","78","1"
"56",0.0472102087539561,0.189201320934496,"5","79","1"
"57",0.0476138364739402,0.188140383611148,"10","79","1"
"58",0.0472137671340951,0.195097460120595,"15","79","1"
"59",0.0471503944142493,0.198761870006004,"20","79","1"
"60",0.0471530456866033,0.201466645483959,"25","79","1"
"61",0.035655032113895,0.116214927844989,"5","68","2"
"62",0.0372085265996354,0.118058321854053,"10","68","2"
"63",0.0358837920176311,0.113608282051176,"15","68","2"
"64",0.035756269605874,0.117156132848351,"20","68","2"
"65",0.035693858574481,0.116969824147933,"25","68","2"
"66",0.0356506208430936,0.117012342462567,"5","69","2"
"67",0.0359958747417037,0.118528120771733,"10","69","2"
"68",0.0350269346342066,0.113643770655947,"15","69","2"
"69",0.0348347031375938,0.119535736341325,"20","69","2"
"70",0.0349648591279783,0.119159611005296,"25","69","2"
"71",0.0353465980610136,0.113271970418367,"5","70","2"
"72",0.0359046241062207,0.11444719159548,"10","70","2"
"73",0.0349128463338978,0.111670231727232,"15","70","2"
"74",0.0349652365301209,0.115392138468524,"20","70","2"
"75",0.035081168362347,0.114064909245568,"25","70","2"
"76",0.0366734898110268,0.134108436900239,"5","71","2"
"77",0.0366536249664099,0.123248742693166,"10","71","2"
"78",0.0353931934443555,0.118223814711224,"15","71","2"
"79",0.0349896925455338,0.11439813216914,"20","71","2"
"80",0.0349377406831344,0.115233899709918,"25","71","2"
"81",0.0356351622217265,0.130852663768328,"5","72","2"
"82",0.0366634366732482,0.130952380047213,"10","72","2"
"83",0.0351330741126607,0.124400315767161,"15","72","2"
"84",0.0342923285055151,0.115732650371262,"20","72","2"
"85",0.0343355311033969,0.111966046196067,"25","72","2"
"86",0.0360751161154063,0.130603614233845,"5","73","2"
"87",0.0366163034938657,0.121233256560959,"10","73","2"
"88",0.0350170920538214,0.11854014392695,"15","73","2"
"89",0.0343357489158396,0.113102261610272,"20","73","2"
"90",0.0345476023505074,0.114311712201285,"25","73","2"
"91",0.0372817479927574,0.124829539219136,"5","74","2"
"92",0.036728737637817,0.122725157964407,"10","74","2"
"93",0.0350943302734638,0.118325632819982,"15","74","2"
"94",0.034272772420465,0.110956694754734,"20","74","2"
"95",0.0344772682853724,0.112514918133988,"25","74","2"
"96",0.0368339852162425,0.121682056196287,"5","75","2"
"97",0.0367574683699721,0.122757730734758,"10","75","2"
"98",0.0353826444380738,0.11902832775467,"15","75","2"
"99",0.034726820047007,0.112896844518958,"20","75","2"
"100",0.0348632766406897,0.114546416352536,"25","75","2"
"101",0.0344205551005739,0.112905213619857,"5","76","2"
"102",0.0348497730556206,0.108198867051356,"10","76","2"
"103",0.0343843588046464,0.108598451680368,"15","76","2"
"104",0.0341657618842096,0.11424734566503,"20","76","2"
"105",0.0341865512459706,0.115113631709071,"25","76","2"
"106",0.0349278454868076,0.120923975395741,"5","77","2"
"107",0.0350113968486393,0.112358321763623,"10","77","2"
"108",0.0342840134792462,0.116319292695743,"15","77","2"
"109",0.034142662502515,0.120011650663719,"20","77","2"
"110",0.0342987566425821,0.119771337005556,"25","77","2"
"111",0.0355488342230043,0.116196616389913,"5","78","2"
"112",0.0352058497917941,0.11192528205898,"10","78","2"
"113",0.0348051604025519,0.109695506329624,"15","78","2"
"114",0.0344721457910252,0.115513350071322,"20","78","2"
"115",0.0347360991746183,0.115268269548151,"25","78","2"
"116",0.0352008212278287,0.123142010006127,"5","79","2"
"117",0.0354060035069767,0.117383514368842,"10","79","2"
