"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","y"
0.46575,0.58447,0.75799,0.12329,0.45662,0.05023,0.69863,0.12785,0.18265,0.48402,0.0411,1401.86041597517
0.88584,0.82648,0.72603,0.05023,0.9863,0.56164,0.19178,0.74886,0.66667,0.89954,0.30137,1117.42825827711
0.9589,0.3516,0.76712,0.71233,0.51142,0.34247,0.77626,0.87215,0.71689,0.99543,0.25571,1505.63035170341
0.81279,0.65297,0.43379,0.15525,0.52968,0.78539,0,0.34247,0.42009,0.13699,0.9726,828.716436130786
0.10502,0.50685,0.92694,0.04566,0.53425,0.92237,0.43836,0.03196,0.94521,0.48858,0.38813,1536.31144279684
0.58447,0.379,0.14155,0.92694,0.78082,0.87671,0.90411,0.39269,0.20091,0.3516,0.24201,770.232929162124
0.26941,0.28311,0.20548,0.47032,0.95434,0.88584,0.78539,0.76712,0.89498,0.59361,0.05936,964.134972263127
0.12329,0.17808,0.77169,0.19178,0.93607,0.13699,0.03196,0.23744,0.26027,0.11872,0.47945,1264.4264702342
0.83562,0.21005,0.38356,0.78082,0.35616,0.72146,0.621,0.77626,0.69406,0.15068,0.81735,989.769089735226
0.05936,0.24201,0.89041,0.63927,0.92237,0.04566,0.83562,0.81735,0.97717,0.82192,0.3105,1953.00197011931
0.27854,0.48402,0.3516,0.23744,0.54795,0.99087,0.22374,0.9589,0.57991,0.9589,0.23744,1233.87115471668
0.25571,0.60274,0.87671,0.53425,0.01826,0.85388,0.42922,0.10502,0.31507,0.3653,0.91781,1675.93446105586
0.00913,0.49315,0.23288,0.59361,0.07763,0.53425,0.91781,0.72603,0.03196,0.26484,0.18265,1254.60716754466
0.44749,0.23288,0.03196,0.25114,0.50228,0.38813,0.08676,0.84475,0.00457,0.36986,0.37443,443.899124258162
0.39726,0.64384,0.78995,0.6484,0.0411,0.73973,0.72146,0.05936,0.08219,0.92694,0.15982,1860.58364609213
0.94521,0.73059,0.16895,0.69406,0.17352,0.43379,0.40183,0.09589,0.51598,0.6347,0.98174,788.140031650596
0.3242,0.01826,0.77626,0.43379,0.78995,0.65297,0.20091,0.52511,0.74429,0.44292,0.97717,1376.94621635276
0.17808,0.40639,0.56621,0.6895,0.89498,0.09589,0.79909,0.54795,0,0.47489,0.75799,1500.95663019258
0.75799,0.63014,0.02283,0.42922,0.12329,0.19178,0.89954,0.89041,0.51142,0.82648,0.74429,483.834337289607
0.30137,0.73973,0.39269,0.13699,0.26941,0.29224,0.2968,0.7032,0.27397,0.3242,0.13699,1186.82072674683
0.78539,0.30594,0.53425,0.29224,0.41553,0.24201,0.19635,0.15982,0.94977,0.25571,0.84932,1081.6341242115
0.79452,0.9726,0.28767,0.94521,0.08676,0.6621,0.47032,0.42922,0.85845,0.94521,0.80365,1232.35653910978
0.92237,0.20548,0.59817,0.44292,0.47489,0.76712,0.15068,0.96347,0.24201,0.60274,0.90411,995.000535391159
0.14612,0.9589,0.49315,0.52055,0.85388,0.25114,0.83105,0.72146,0.48858,0.34703,0.99087,1407.13022643979
0.41096,0.83562,0.00457,0.32877,0.39269,0.69863,0.92694,0.21461,0.38813,0.3379,0.90868,311.827374737319
0.76712,0.11416,0.75342,0.81279,0.54338,0.45662,0.80822,0.64384,0.06849,0.05023,0.91324,1142.46574283889
0.60731,0.77626,0.78082,0.9726,0.10959,0.09132,0.22831,0.82648,0.2968,0.62557,0.58447,1732.72879194281
0.73973,0.53425,0.73059,0.60731,0.73516,0.0274,0.29224,0.0411,0.34703,0.68037,0.23288,1387.34183420703
0.53425,0.74429,0.23744,0.23288,0.96347,0.21005,0.52055,0.11416,0.74886,0.39269,0.55251,821.543577301365
0.91324,0.06849,0.45205,0.68493,0.00457,0.26941,0.24658,0.73516,0.61187,0.10959,0.38356,886.429613805216
0.21918,0.12329,0.80822,0.89041,0.06849,0.23744,0.39726,0.51598,0.90868,0.81279,0.08676,2068.68861284098
0.379,0.54795,0.40183,0.70776,0.99087,0.84932,0.11416,0.60274,0.92237,0.07763,0.50685,1054.90249463822
0.93607,0.67123,0.89954,0.12785,0.85845,0.71689,0.95434,0.56621,0.58904,0.67123,0.61187,1256.64682577752
0.06393,0.42922,0.74886,0.47945,0,0.59817,0.46575,0.15525,0.78539,0.17352,0.65297,1661.13099124779
0.45205,0.09589,0.50228,0.39269,0.23744,0.98174,0.94521,0.06393,0.25114,0.23288,0.11416,1106.62619211912
0.25114,0.22374,0.15068,0.05936,0.60731,0.61187,1,0.49315,0.42922,0.24658,0.58904,744.574249138485
0.23288,0.06393,0.74429,0.27397,0.18721,0.90868,0.10959,0.29224,0.09132,0.61644,0.83105,1516.77367882122
0.01826,0.29224,0.3242,0.85845,0.621,0.83562,0.01826,0.86301,0.50228,0.47945,0.56164,1411.60133499403
0.21461,0.54338,0.07306,0.40183,0.09132,0.10959,0.9726,0.92237,0.65753,0.38356,0.94521,787.738824279606
0.73059,0.98174,0.07763,0.08219,0.26027,0.33333,0.91324,0.10959,0.57534,0.59817,0.6484,487.97967934148
0.52968,0.3242,0.88128,0.82192,0.38813,0.35616,0.64384,0.30137,0.621,0.93151,0.06849,1807.69766856272
0.83105,0.51598,0.67123,0.46119,0.92694,0.23288,0.6895,0.87671,0.06393,0.36073,0.60731,1209.38066353686
0.9726,0.08219,0.85845,0.77626,0.6484,0.18721,0.30137,0.19178,0.93607,0.74886,0.57534,1258.93694797664
0.63927,0.07306,0.03653,0.88128,0.91781,0.85845,0.52968,0.65753,0.69863,0.28311,0.69406,461.409821944431
0.00457,0.21918,0.55251,0.33333,0.68037,0.9589,0.30594,0.44292,0.07763,0.11416,0.63927,1292.48620979246
0.72146,0.24658,0.41096,0.85388,0.14612,0.48858,0.21005,0.45662,0.21918,0.6621,0.03653,1135.1751432359
0.65297,0.59361,0.70776,0.80822,0.15525,0.26484,0.0411,0.80365,0.44749,0.23744,0.22374,1242.61156559537
0.29224,0.19635,0.00913,0.94064,0.57534,0.25571,0.55708,0.13242,0.98174,0.65297,0.17808,344.9312620198
0.42922,0.70776,0.41553,0.00457,0.6621,0.14155,0.37443,0.28311,0.05479,0.99087,0.21461,1100.79412333068
0.38356,0.07763,0.36073,0.21461,0.79909,0.57534,0.49315,0.88128,0.43836,0.51142,0.00457,1052.95872932339
0.15068,0.80365,0.68493,0.11872,0.05936,0.58904,0.07763,0.94521,0.96347,0.30594,0.78082,1579.71150361886
0.47489,0.05023,0.18265,0.98174,0.31963,0.60731,0.3379,0.02283,0.01826,0.57534,0.2968,868.176108663109
0.6895,0.89498,0.9589,0.89954,0.3516,0.57991,0.15982,0.12329,0.07306,0.86301,0.40183,1533.47921841801
0.76256,0.21461,0.94064,0.7032,0.84018,0.52055,0.04566,0.26941,0.38356,0.76712,0.08219,1171.37469531596
0.08219,0.09132,0.11872,0.44749,0.74886,0.2968,0.65753,0.43379,0.95434,0.85845,0.47489,833.547413120788
0.56621,0.50228,0.47032,0.86758,0.69406,0.34703,0.16438,0.58904,0.28311,0.0274,0.95434,1120.06313853312
0.87215,0.55708,0.34247,0.3516,0.50685,0.21918,0.84475,0.07763,0.84475,0.7032,0.63014,1048.90607329007
0.31507,0.27397,0.44749,0.02283,0.87215,0.32877,0.40639,0.79452,0.16438,0.39726,0.78539,1113.39519076077
0.07763,0.19178,0.47489,0.75799,0.08219,0.83105,0.76712,0.28767,0.17352,0.53425,0.3379,1659.51982833335
0.19635,0.30137,0.76256,0.62557,0.70776,0.54338,0.53881,0.98174,0.41553,0.35616,0.10959,1582.1954120053
0.48402,0.65753,0.72146,0.379,0.90868,0.91781,0.23288,0.40183,0.88128,0.78995,0.53425,1365.00353657415
0.88128,0.72146,0.52968,0.49772,0.58447,0.00913,0.88584,0.68037,0.09589,0.44749,0.09132,1258.61480907007
0.27397,0.05479,0.25571,0.6347,0.3653,0.379,0.00457,0.69406,0.80822,0.72146,0.44292,1195.02799170174
0.60274,0.15982,0.89498,0.45205,0.27397,0.47489,0.57534,0.621,0.14612,0.73516,0.00913,1490.59755870528
0.11416,0.96804,0.17352,0.81735,0.66667,0.79452,0.73516,0.88584,0.68493,0.69406,0.12329,1134.53372263985
0.3653,0.45205,0.54795,0.91781,0.94521,0.75799,0.44292,0.84018,0.60731,0.74429,0.9863,1526.63095284825
0.13242,0.52968,0.30594,1,0.26484,0.73516,0.51142,0.47945,0.379,0.45662,0.42922,1407.95846469081
0.42009,0.25114,0.57991,0.80365,0.9726,0.65753,0.67123,0.14155,0.30137,0.52968,0.43836,1320.17556759718
0.05023,0.38813,0.69406,0.40639,0.65297,0.3242,0.10502,0.68493,0.39726,0,0.04566,1371.76867057312
0.89498,0.11872,0.42922,0.61644,0.16438,0.95434,0.06849,0.13699,0.73516,0.93607,0.75342,926.663811546031
0.07306,0.15068,0.20091,0.55708,0.58904,0.20548,0.21461,0.21918,0.52968,0.03653,0.6758,930.376765072175
0.68493,0.17352,0.3379,0.67123,0.87671,0.78995,0.08219,0.67123,0.76256,0.58447,0.21005,892.128325326013
0.77626,0.81735,0.84932,0.36986,0.0274,0.30137,0.53425,0.85845,0.18721,0.58904,0.43379,1497.64210996815
0.69863,0.78539,0.43836,0.30594,0.97717,0.16438,0.84018,0.90868,0.54795,0.46575,0.13242,1143.67662781838
0.22831,0.32877,1,0.57078,0.67123,0.46119,0.13699,0.06849,0.86758,0.28767,0.42466,1529.82226716041
0.21005,0.42466,0.16438,0.25571,0.99543,0.28311,0.87671,0.25114,0.35616,0.54338,0.79452,788.934703895984
0.54338,0.66667,0.52511,0.74886,0.20548,0.47945,0.0137,0.50228,0.0274,0.9726,0.73059,1528.09294770995
0.78082,0.05936,0.6484,0.03653,0.71689,0.81735,0.88128,0.54338,0.29224,0.18721,0.52055,898.76513755307
0.79909,0.56621,0.01826,0.6621,0.25114,0.57078,0.74429,0.30594,0.32877,0.0137,0.47032,325.348570566173
0.85845,0.16895,0.63014,0.63014,0.13242,0.28767,0.45205,0.40639,0.00913,0.06393,0.85845,1073.14595187696
0.10959,0.78995,0.61187,0.16895,0.78539,0.37443,0.78995,0.79909,0.36073,0.95434,0.6621,1597.83746244956
0.37443,0.41096,0.64384,0.9863,0.53881,0.15982,0.18265,0.10046,0.15525,0.31507,0.07306,1437.28105195035
0.74886,0.84018,0.379,0.97717,0.6895,0.39269,0.41553,0.94064,0.82648,0.21461,0.15525,1069.09351646502
0.80822,0.10046,0.18721,0.06393,0.39726,0.52968,0.14155,0.82192,0.13242,0.46119,0.72146,624.376771448987
0.09589,0.85388,0.33333,0.91324,0.16895,0.61644,0.81735,0.35616,0.10959,0.38813,0.05479,1454.20978219822
0.99087,0.89041,0.47945,0.42009,0.9589,0.42922,0.31963,0.55251,0.44292,0.92237,0.85388,1101.47332417166
0.13699,0,0.81735,0.60274,0.82192,0.15525,0.12785,0.3653,0.70776,0.55251,0.92237,1482.11171646398
